Date,open,high,low,close,volume,edit_count,sentiment,neg_sentiment,tomorrow,target
2014-09-17,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,21056800,5.033333333333333,-0.2321914837599868,0.5327182327476445,424.4400024414063,0
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,34483200,5.066666666666666,-0.2327596858979339,0.5327182327476445,394.7959899902344,0
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700,5.2,-0.2354152268013432,0.5493848994143112,408.9039916992188,1
2014-09-20,394.6730041503906,423.2959899902344,389.8829956054688,408.9039916992188,36863600,5.2,-0.2331852561077549,0.5493848994143112,398.8210144042969,0
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100,5.233333333333333,-0.204017458939659,0.5327182327476445,402.1520080566406,1
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600,5.233333333333333,-0.204017458939659,0.5327182327476445,435.7909851074219,1
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500,5.3,-0.1878627857408001,0.5243848994143112,423.2049865722656,0
2014-09-24,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,30627700,5.233333333333333,-0.2118309260250205,0.5377182327476445,411.5740051269531,0
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400,4.633333333333334,-0.1973184201341894,0.5297817248111366,404.4249877929688,0
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,21460800,4.3,-0.1783065497102366,0.50311505814447,399.5199890136719,0
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300,3.533333333333333,-0.1689843682469951,0.4971150581444699,377.1809997558594,0
2014-09-28,399.4710083007813,401.0169982910156,374.3320007324219,377.1809997558594,23613300,3.4,-0.1843414726875252,0.4887817248111366,375.4670104980469,0
2014-09-29,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,32497700,4.466666666666667,-0.2119114521769769,0.5029231389525507,386.9440002441406,1
2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,34707300,4.766666666666667,-0.2369484472627799,0.5164079874373992,383.614990234375,0
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,26229400,5.166666666666667,-0.2503952380942095,0.5235508445802564,375.0719909667969,0
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,21777700,4.833333333333333,-0.2273778667310995,0.5124397334691453,359.5119934082031,0
2014-10-03,375.1809997558594,377.6950073242188,357.8590087890625,359.5119934082031,30901200,4.8,-0.2138801207876516,0.5045032255326373,328.8659973144531,0
2014-10-04,359.8919982910156,364.4869995117188,325.885986328125,328.8659973144531,47236500,4.8,-0.169012917154661,0.471169892199304,320.510009765625,0
2014-10-05,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,83308096,5.166666666666667,-0.1817303033360534,0.4775190985485104,330.0790100097656,1
2014-10-06,320.3890075683594,345.1340026855469,302.5599975585937,330.0790100097656,79011800,5.233333333333333,-0.1906265527362982,0.4819635429929548,336.18701171875,1
2014-10-07,330.5840148925781,339.2470092773437,320.48199462890625,336.18701171875,49199900,4.8,-0.2032561980979181,0.4873556998556999,352.94000244140625,1
2014-10-08,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,54736300,4.9,-0.1879198122319119,0.4790223665223665,365.0260009765625,1
2014-10-09,352.7479858398437,382.72601318359375,347.68701171875,365.0260009765625,83641104,5.033333333333333,-0.2168861645754711,0.4956890331890332,361.56201171875,0
2014-10-10,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,43665700,5.133333333333334,-0.2501500987307763,0.5123556998556998,362.2990112304688,1
2014-10-11,361.3619995117188,367.1910095214844,355.95098876953125,362.2990112304688,13345200,5.366666666666666,-0.2664325882008496,0.5361652236652237,378.5490112304688,1
2014-10-12,362.6059875488281,379.4330139160156,356.1440124511719,378.5490112304688,17552800,5.366666666666666,-0.2664325882008496,0.5361652236652237,390.41400146484375,1
2014-10-13,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,35221400,5.9,-0.2650032121345164,0.5356601731601731,400.8699951171875,1
2014-10-14,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,38491500,6.466666666666667,-0.2501998581891022,0.5282527657527658,394.7730102539063,0
2014-10-15,400.9549865722656,402.22698974609375,388.7659912109375,394.7730102539063,25267100,7.1,-0.2658061714063036,0.5358144941478274,382.5559997558594,0
2014-10-16,394.51800537109375,398.8070068359375,373.0700073242188,382.5559997558594,26990000,7.933333333333334,-0.27788533956706,0.5584811608144942,383.7579956054688,1
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.7579956054688,13600700,8.266666666666667,-0.2903351783557964,0.564433541766875,391.4419860839844,1
2014-10-18,383.97601318359375,395.1579895019531,378.9710083007813,391.4419860839844,11416800,8.2,-0.2575860152447455,0.5311002084335418,389.5459899902344,0
2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,5914570,8.533333333333333,-0.2870630994954227,0.5477668751002085,382.8450012207031,0
